# vol2bird Vertical Profile of Birds (VPB)
# source: RAD:KBGM,PLC:BINGHAMTON,state:NY,radar_name:KBGM
# ODIM HDF5 input: ./KBGM/2016/09/02/KBGM20160902_001626_V06
# Date   Time Heig    U      V       W   Speed Direc StdDev Gap dBZ     eta DensBird dBZAll   n   ndBZ  nAll nAlldBZ
20160902 0054 1800  -3.40 -12.78   16.07 13.22 194.9   3.69 F   4.45   60.2   5.47   4.12  6572  6843  7543  7831
20160902 0054 2000  -2.14 -11.28   15.10 11.48 190.7   3.26 F   0.40   23.7   2.15  -0.27  2884  3063  4308  4507
20160902 0054 2200    nan    nan     nan   nan   nan   3.01 T  -4.05    8.5   0.00  -4.82   930   930  3292  3438
20160902 0054 2400    nan    nan     nan   nan   nan   3.01 T  -5.00    6.8   0.00  -7.89    42    42   660   676
20160902 0054 2600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0054 2800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0054 3000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0054 3200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0054 3400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0054 3600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0054 3800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0054 4000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0054 4200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0054 4400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0054 4600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0054 4800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
# vol2bird Vertical Profile of Birds (VPB)
# source: RAD:KBGM,PLC:BINGHAMTON,state:NY,radar_name:KBGM
# ODIM HDF5 input: ./KBGM/2016/09/02/KBGM20160902_010428_V06
# Date   Time Heig    U      V       W   Speed Direc StdDev Gap dBZ     eta DensBird dBZAll   n   ndBZ  nAll nAlldBZ
20160902 0104    0    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0104  200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0104  400  -2.49 -13.99  -32.40 14.21 190.1   2.87 F  18.77 1628.7 148.07  19.15 10671 10779 22072 22452
20160902 0104  600  -2.29 -14.17  -55.27 14.36 189.2   2.67 F  19.98 2150.1 195.46  20.14 44814 45178 57922 58390
20160902 0104  800  -3.13 -15.01  -15.07 15.33 191.8   2.63 F  20.00 2159.6 196.33  20.26 36250 36420 40381 40576
20160902 0104 1000  -4.02 -15.20  -21.12 15.73 194.8   2.65 F  18.66 1587.1 144.29  18.71 34550 34724 35255 35447
20160902 0104 1200  -5.38 -15.25  -22.34 16.17 199.4   2.75 F  16.86 1049.8  95.44  16.86 20366 20683 20366 20683
20160902 0104 1400  -5.80 -14.91  -14.77 16.00 201.3   3.00 F  12.91  422.7  38.43  12.91 18965 19403 18992 19430
20160902 0104 1600  -4.12 -14.12    1.40 14.71 196.3   3.67 F   8.52  153.7  13.97   8.40  7421  7674  7671  7923
20160902 0104 1800  -3.61 -13.16   16.34 13.65 195.3   3.82 F   4.80   65.3   5.94   4.57  7149  7415  7619  7890
20160902 0104 2000  -1.84 -11.51   23.22 11.66 189.1   3.37 F   1.48   30.4   2.77   0.41  2893  3030  4328  4489
20160902 0104 2200    nan    nan     nan   nan   nan   3.12 T  -2.62   11.8   0.00  -3.31   977   985  3320  3442
20160902 0104 2400    nan    nan     nan   nan   nan   2.91 T  -5.32    6.4   0.00  -7.25    70    70   674   688
20160902 0104 2600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0104 2800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0104 3000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0104 3200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0104 3400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0104 3600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0104 3800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0104 4000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0104 4200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0104 4400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0104 4600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0104 4800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
# vol2bird Vertical Profile of Birds (VPB)
# source: RAD:KBGM,PLC:BINGHAMTON,state:NY,radar_name:KBGM
# ODIM HDF5 input: ./KBGM/2016/09/02/KBGM20160902_011404_V06
# Date   Time Heig    U      V       W   Speed Direc StdDev Gap dBZ     eta DensBird dBZAll   n   ndBZ  nAll nAlldBZ
20160902 0114    0    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0114  200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0114  400  -3.32 -14.02    0.41 14.40 193.3   2.87 F  19.62 1982.0 180.18  19.33  7132  7181 22050 22330
20160902 0114  600  -2.69 -14.23  -62.39 14.48 190.7   2.75 F  19.84 2083.8 189.43  20.32 42309 42686 58154 58634
20160902 0114  800  -3.64 -15.19  -23.37 15.62 193.5   2.64 F  20.11 2216.3 201.48  20.23 32037 32180 40414 40634
20160902 0114 1000  -4.70 -15.26  -20.47 15.97 197.1   2.62 F  18.75 1620.3 147.30  18.79 33880 34285 35251 35684
20160902 0114 1200  -5.65 -15.16  -20.27 16.18 200.5   2.62 F  17.04 1093.4  99.40  17.04 20614 20852 20615 20853
20160902 0114 1400  -6.16 -14.97  -14.68 16.19 202.4   3.01 F  12.77  408.8  37.16  12.77 19081 19531 19081 19531
20160902 0114 1600  -5.11 -14.36   -4.93 15.24 199.6   3.67 F   8.66  158.8  14.44   8.52  7256  7600  7554  7918
20160902 0114 1800  -3.44 -13.09   16.66 13.54 194.7   3.93 F   4.99   68.2   6.20   4.68  6866  7145  7576  7897
20160902 0114 2000  -2.74 -11.49   18.46 11.81 193.4   3.61 F   1.86   33.2   3.02   1.27  3350  3502  4260  4463
20160902 0114 2200  -1.43 -12.05   24.11 12.13 186.8   3.33 F  -2.02   13.6   1.23  -3.00  1752  1895  3290  3486
20160902 0114 2400    nan    nan     nan   nan   nan   3.49 T  -6.58    4.8   0.00  -6.71   150   150   656   694
20160902 0114 2600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0114 2800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0114 3000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0114 3200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0114 3400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0114 3600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0114 3800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0114 4000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0114 4200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0114 4400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0114 4600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0114 4800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
# vol2bird Vertical Profile of Birds (VPB)
# source: RAD:KBGM,PLC:BINGHAMTON,state:NY,radar_name:KBGM
# ODIM HDF5 input: ./KBGM/2016/09/02/KBGM20160902_012340_V06
# Date   Time Heig    U      V       W   Speed Direc StdDev Gap dBZ     eta DensBird dBZAll   n   ndBZ  nAll nAlldBZ
20160902 0123    0    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0123  200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0123  400  -3.81 -13.75   10.32 14.26 195.5   2.90 F  18.83 1652.2 150.20  19.39 10094 10270 21898 22322
20160902 0123  600  -3.02 -14.35  -61.29 14.66 191.9   2.75 F  19.90 2114.1 192.19  20.15 45092 45500 58108 58614
20160902 0123  800  -4.20 -15.15  -25.57 15.73 195.5   2.61 F  20.03 2177.9 197.99  20.02 36158 36336 40407 40629
20160902 0123 1000  -5.21 -15.21  -22.59 16.08 198.9   2.56 F  18.67 1589.5 144.50  18.65 34418 34832 35139 35565
20160902 0123 1200  -6.01 -15.31  -19.28 16.45 201.4   2.75 F  16.41  945.4  85.94  16.41 20475 20760 20475 20760
20160902 0123 1400  -6.30 -14.98  -15.39 16.25 202.8   3.07 F  12.91  422.5  38.41  12.89 19036 19442 19153 19563
20160902 0123 1600  -4.00 -14.82    0.95 15.35 195.1   3.81 F   8.03  137.3  12.48   8.00  7211  7511  7592  7915
20160902 0123 1800  -4.57 -12.88    9.34 13.67 199.5   4.04 F   4.14   56.1   5.10   4.10  6757  7166  7378  7817
20160902 0123 2000  -3.65 -11.48   14.14 12.04 197.6   3.72 F   1.11   27.9   2.54   0.43  2983  3134  4262  4471
20160902 0123 2200  -3.11 -12.10    9.12 12.50 194.4   3.33 F  -2.95   11.0   1.00  -3.24  1651  1740  3298  3436
20160902 0123 2400  -4.42 -12.87    4.87 13.61 198.9   3.20 F  -4.78    7.2   0.65  -5.03   214   227   656   692
20160902 0123 2600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0123 2800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0123 3000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0123 3200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0123 3400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0123 3600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0123 3800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0123 4000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0123 4200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0123 4400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0123 4600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0123 4800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
# vol2bird Vertical Profile of Birds (VPB)
# source: RAD:KBGM,PLC:BINGHAMTON,state:NY,radar_name:KBGM
# ODIM HDF5 input: ./KBGM/2016/09/02/KBGM20160902_013318_V06
# Date   Time Heig    U      V       W   Speed Direc StdDev Gap dBZ     eta DensBird dBZAll   n   ndBZ  nAll nAlldBZ
20160902 0133    0    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0133  200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0133  400  -2.93 -13.81  -15.40 14.12 192.0   2.94 F  19.11 1760.3 160.03  19.15  6500  6624 22004 22368
20160902 0133  600  -3.18 -14.32  -62.20 14.67 192.5   2.74 F  19.65 1995.0 181.37  19.88 43338 43728 58054 58606
20160902 0133  800  -4.79 -15.12  -28.72 15.86 197.6   2.51 F  19.82 2074.4 188.58  19.76 35038 35472 40090 40591
20160902 0133 1000  -5.48 -15.05  -24.20 16.02 200.0   2.57 F  18.55 1549.0 140.82  18.54 34031 34312 35165 35462
20160902 0133 1200  -6.36 -15.15  -19.48 16.43 202.8   2.77 F  15.78  818.9  74.44  15.78 20352 20680 20352 20680
20160902 0133 1400  -6.38 -15.00  -14.95 16.30 203.0   3.04 F  12.51  385.5  35.05  12.51 19156 19595 19156 19595
20160902 0133 1600  -5.19 -14.72   -5.28 15.61 199.4   3.73 F   8.19  142.4  12.95   8.12  7462  7815  7606  7966
20160902 0133 1800  -4.72 -12.61    2.82 13.46 200.5   3.99 F   3.84   52.3   4.76   3.60  6897  7309  7419  7864
20160902 0133 2000  -4.03 -10.71   13.26 11.44 200.7   3.66 F   0.96   26.9   2.45  -0.19  2561  2709  4252  4446
20160902 0133 2200    nan    nan     nan   nan   nan   3.29 T  -2.40   12.4   0.00  -3.16  1303  1303  3260  3434
20160902 0133 2400    nan    nan     nan   nan   nan   3.29 T  -3.89    8.8   0.00  -4.25   153   153   664   698
20160902 0133 2600    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0133 2800    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0133 3000    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0133 3200    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
20160902 0133 3400    nan    nan     nan   nan   nan    nan T    nan    nan    nan    nan     0     0     0     0
